Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	14.3602   	0.001000	14.3602   	0.001000	12.8649   	0.001000	12.8649   	0.001000	3.84793   	0.001000	10.5123   	
0.002000	15.1229   	0.002000	15.1229   	0.002000	13.214    	0.002000	13.214    	0.002000	4.99014   	0.002000	10.1328   	
0.005000	15.4254   	0.005000	15.4254   	0.005000	12.8051   	0.005000	12.8051   	0.005000	7.03624   	0.005000	8.38911   	
0.008000	15.5334   	0.008000	15.5334   	0.008000	12.4605   	0.008000	12.4605   	0.008000	8.39239   	0.008000	7.14102   	
0.010000	15.6451   	0.010000	15.6451   	0.010000	12.3334   	0.010000	12.3334   	0.010000	9.12487   	0.010000	6.52018   	
0.015000	16.0298   	0.015000	16.0298   	0.015000	12.2412   	0.015000	12.2412   	0.015000	10.6233   	0.015000	5.40645   	
0.020000	16.4928   	0.020000	16.4928   	0.020000	12.3299   	0.020000	12.3299   	0.020000	11.8335   	0.020000	4.65932   	
0.025000	16.9842   	0.025000	16.9842   	0.025000	12.5089   	0.025000	12.5089   	0.025000	12.8663   	0.025000	4.11784   	
0.030000	17.4811   	0.030000	17.4811   	0.030000	12.7357   	0.030000	12.7357   	0.030000	13.7768   	0.030000	3.70432   	
0.035000	17.9731   	0.035000	17.9731   	0.035000	12.9886   	0.035000	12.9886   	0.035000	14.5966   	0.035000	3.37647   	
0.040000	18.4552   	0.040000	18.4552   	0.040000	13.2553   	0.040000	13.2553   	0.040000	15.3461   	0.040000	3.10909   	
0.045000	18.9253   	0.045000	18.9253   	0.045000	13.5289   	0.045000	13.5289   	0.045000	16.0392   	0.045000	2.88618   	
0.050000	19.3826   	0.050000	19.3826   	0.050000	13.8052   	0.050000	13.8052   	0.050000	16.6856   	0.050000	2.69704   	
0.055000	20.5128   	0.055000	20.5128   	0.055000	14.8168   	0.055000	14.8168   	0.055000	17.9786   	0.055000	2.5342    	
0.060000	21.7763   	0.060000	21.7763   	0.060000	16.0252   	0.060000	16.0252   	0.060000	19.384    	0.060000	2.39232   	
0.070000	24.2403   	0.070000	24.2403   	0.070000	18.4807   	0.070000	18.4807   	0.070000	22.0838   	0.070000	2.15647   	
0.080000	26.5522   	0.080000	26.5522   	0.080000	20.9326   	0.080000	20.9326   	0.080000	24.5844   	0.080000	1.96775   	
0.090000	28.6902   	0.090000	28.6902   	0.090000	23.3222   	0.090000	23.3222   	0.090000	26.888    	0.090000	1.80217   	
0.100000	30.6625   	0.100000	30.6625   	0.100000	25.6398   	0.100000	25.6398   	0.100000	28.9891   	0.100000	1.67338   	
0.120000	34.1442   	0.120000	34.1442   	0.120000	29.9494   	0.120000	29.9494   	0.120000	32.6754   	0.120000	1.46882   	
0.140000	36.9991   	0.140000	36.9991   	0.140000	33.7704   	0.140000	33.7704   	0.140000	35.6906   	0.140000	1.30845   	
0.160000	39.3569   	0.160000	39.3569   	0.160000	37.1142   	0.160000	37.1142   	0.160000	38.1711   	0.160000	1.18584   	
0.180000	41.8378   	0.180000	41.8378   	0.180000	40.0147   	0.180000	40.0147   	0.180000	40.7516   	0.180000	1.08619   	
0.200000	44.1917   	0.200000	44.1917   	0.200000	42.5265   	0.200000	42.5265   	0.200000	43.1883   	0.200000	1.00342   	
0.250000	48.654    	0.250000	48.654    	0.250000	47.4698   	0.250000	47.4698   	0.250000	47.8075   	0.250000	0.84653   	
0.300000	52.1177   	0.300000	52.1177   	0.300000	51.0804   	0.300000	51.0804   	0.300000	51.3825   	0.300000	0.735261  	
0.350000	55.0396   	0.350000	55.0396   	0.350000	53.8615   	0.350000	53.8615   	0.350000	54.3877   	0.350000	0.651834  	
0.400000	58.0083   	0.400000	58.0083   	0.400000	56.1147   	0.400000	56.1147   	0.400000	57.4216   	0.400000	0.586735  	
0.450000	61.0695   	0.450000	61.0695   	0.450000	58.0154   	0.450000	58.0154   	0.450000	60.5352   	0.450000	0.534385  	
0.500000	63.8486   	0.500000	63.8486   	0.500000	59.6651   	0.500000	59.6651   	0.500000	63.3573   	0.500000	0.491285  	
0.600000	66.8564   	0.600000	66.8564   	0.600000	62.8825   	0.600000	62.8825   	0.600000	66.4321   	0.600000	0.424314  	
0.700000	69.0218   	0.700000	69.0218   	0.700000	66.1514   	0.700000	66.1514   	0.700000	68.6473   	0.700000	0.374503  	
0.800000	70.7625   	0.800000	70.7625   	0.800000	68.7581   	0.800000	68.7581   	0.800000	70.4266   	0.800000	0.33588   	
0.900000	72.0194   	0.900000	72.0194   	0.900000	70.8554   	0.900000	70.8554   	0.900000	71.7144   	0.900000	0.304981  	
1.000000	72.8433   	1.000000	72.8433   	1.000000	72.5484   	1.000000	72.5484   	1.000000	72.5636   	1.000000	0.279653  	
1.250000	75.7162   	1.250000	75.7162   	1.250000	75.4746   	1.250000	75.4746   	1.250000	75.4838   	1.250000	0.232481  	
1.500000	76.8925   	1.500000	76.8925   	1.500000	77.1127   	1.500000	77.1127   	1.500000	76.6928   	1.500000	0.199698  	
1.750000	77.3831   	1.750000	77.3831   	1.750000	77.9205   	1.750000	77.9205   	1.750000	77.2076   	1.750000	0.175492  	
2.000000	77.5169   	2.000000	77.5169   	2.000000	78.1767   	2.000000	78.1767   	2.000000	77.3601   	2.000000	0.156832  	
2.250000	76.8085   	2.250000	76.8085   	2.250000	78.0587   	2.250000	78.0587   	2.250000	76.6665   	2.250000	0.141974  	
2.500000	98.2445   	2.500000	75.7119   	2.500000	77.6832   	2.500000	77.6832   	2.500000	75.5821   	2.500000	0.129845  	
3.000000	95.0637   	3.000000	73.5066   	3.000000	76.4513   	3.000000	76.4513   	3.000000	73.3954   	3.000000	0.111186  	
3.500000	91.6139   	3.500000	71.3339   	3.500000	74.8669   	3.500000	74.8669   	3.500000	71.2364   	3.500000	0.0974632 	
4.000000	88.1742   	4.000000	69.2562   	4.000000	72.9438   	4.000000	72.9438   	4.000000	69.1693   	4.000000	0.0869183 	
4.500000	84.865    	4.500000	67.2635   	4.500000	70.9069   	4.500000	70.9069   	4.500000	67.1849   	4.500000	0.078545  	
5.000000	81.7348   	5.000000	65.3404   	5.000000	68.9641   	5.000000	68.9641   	5.000000	65.2687   	5.000000	0.0717244 	
5.500000	78.7982   	5.500000	63.5707   	5.500000	67.1162   	5.500000	67.1162   	5.500000	63.5046   	5.500000	0.0660543 	
6.000000	76.0536   	6.000000	61.8794   	6.000000	65.3606   	6.000000	65.3606   	6.000000	61.8181   	6.000000	0.0612613 	
6.500000	73.492    	6.500000	60.2524   	6.500000	63.6932   	6.500000	63.6932   	6.500000	60.1952   	6.500000	0.0571531 	
7.000000	71.101    	7.000000	58.6814   	7.000000	62.1092   	7.000000	62.1092   	7.000000	58.6278   	7.000000	0.0535902 	
7.500000	68.8677   	7.500000	57.2064   	7.500000	60.6035   	7.500000	60.6035   	7.500000	57.156    	7.500000	0.0504689 	
8.000000	66.7789   	8.000000	55.8152   	8.000000	59.171    	8.000000	59.171    	8.000000	55.7675   	8.000000	0.0477104 	
8.500000	64.8225   	8.500000	54.4981   	8.500000	57.8071   	8.500000	57.8071   	8.500000	54.4529   	8.500000	0.0452539 	
9.000000	62.9871   	9.000000	53.2426   	9.000000	56.5071   	9.000000	56.5071   	9.000000	53.1995   	9.000000	0.0430514 	
9.500000	61.2623   	9.500000	52.041    	9.500000	55.2667   	9.500000	55.2667   	9.500000	51.9999   	9.500000	0.0410648 	
10.000000	59.6386   	10.000000	52.6864   	10.000000	54.0821   	10.000000	54.0821   	10.000000	52.6472   	10.000000	0.0392632 	
11.000000	56.662    	11.000000	50.763    	11.000000	51.4683   	11.000000	51.9971   	11.000000	50.7269   	11.000000	0.036119  	
12.000000	53.9988   	12.000000	48.966    	12.000000	49.1093   	12.000000	50.0755   	12.000000	48.9325   	12.000000	0.0334648 	
13.000000	51.6021   	13.000000	47.2887   	13.000000	46.9715   	13.000000	48.301    	13.000000	47.2575   	13.000000	0.0311927 	
14.000000	49.4332   	14.000000	45.7228   	14.000000	45.0262   	14.000000	46.6588   	14.000000	45.6935   	14.000000	0.0292244 	
15.000000	47.4607   	15.000000	44.2594   	15.000000	43.2488   	15.000000	45.1357   	15.000000	44.2319   	15.000000	0.0275018 	
16.000000	45.6585   	16.000000	42.8902   	16.000000	41.6201   	16.000000	43.7199   	16.000000	42.8642   	16.000000	0.0259808 	
17.000000	44.0052   	17.000000	41.6071   	17.000000	40.1227   	17.000000	42.4012   	17.000000	41.5825   	17.000000	0.0246275 	
18.000000	42.4825   	18.000000	40.4028   	18.000000	38.7407   	18.000000	41.1703   	18.000000	40.3794   	18.000000	0.0234151 	
19.000000	41.0752   	19.000000	39.2706   	19.000000	37.4628   	19.000000	40.0193   	19.000000	39.2482   	19.000000	0.0223224 	
20.000000	39.7704   	20.000000	38.2044   	20.000000	36.2806   	20.000000	38.941    	20.000000	38.183    	20.000000	0.0213321 	
21.000000	38.5569   	21.000000	37.1987   	21.000000	35.1837   	21.000000	37.9293   	21.000000	37.1783   	21.000000	0.0204303 	
